	Point 1 (Reference Step: 0)		Point 1 (Reference Step: 0)		Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
183	-2.44654	0.00342127	7.8711	0.00244438	-1.64622	0.00388247	5.86602	0.00247502
184	-2.4448	0.00353044	7.86412	0.00250213	-1.64258	0.00405792	5.86331	0.00260485
185	-2.45679	0.00337358	7.89472	0.00247209	-1.64801	0.00381393	5.88418	0.00246918
186	-2.46754	0.00364112	7.92191	0.00259539	-1.65631	0.00349576	5.90553	0.00231883
187	-2.48567	0.00370077	7.9485	0.00261155	-1.66438	0.00359492	5.92247	0.00235524
188	-2.49509	0.00365551	7.98121	0.00260811	-1.6743	0.00374103	5.94537	0.00239923
189	-2.50306	0.00327952	7.99406	0.0023807	-1.67763	0.00389824	5.94924	0.00248687
190	-2.50161	0.00344938	8.00838	0.00254397	-1.6801	0.00400287	5.96274	0.00249234
191	-2.50605	0.00330193	8.0155	0.00243572	-1.68167	0.00385563	5.96866	0.00246871
192	-2.50544	0.00329571	8.01774	0.00243006	-1.68242	0.00400013	5.96962	0.00252259
193	-2.52036	0.00349575	8.03936	0.00252675	-1.68733	0.00388665	5.98869	0.00247583
194	-2.54289	0.00356452	8.10412	0.00252982	-1.70708	0.00389179	6.03281	0.00248784
195	-2.58003	0.00343514	8.1835	0.00249679	-1.73156	0.00404682	6.0852	0.00254133
196	-2.63584	0.00362633	8.32793	0.00262047	-1.76648	0.00369877	6.19269	0.00241351
197	-2.69842	0.00356688	8.47169	0.00254122	-1.79969	0.00364284	6.29619	0.00239997
198	-2.75354	0.00363015	8.5957	0.00259756	-1.83782	0.00406616	6.38926	0.0025744
199	-2.79307	0.00355239	8.70487	0.002576	-1.87134	0.00387764	6.46146	0.00245268
200	-2.83099	0.00346721	8.78411	0.00256503	-1.8902	0.00410858	6.52055	0.00258849
201	-2.86628	0.00379516	8.86379	0.00266527	-1.90975	0.0037957	6.5768	0.00241587
202	-2.91213	0.00353925	8.97715	0.00254043	-1.94023	0.00429896	6.65787	0.00266517
203	-2.96077	0.00363837	9.08722	0.00262753	-1.97572	0.00430042	6.73506	0.00260081
204	-3.0017	0.00347358	9.17643	0.00257139	-1.99894	0.00404175	6.80502	0.00252917
205	-3.03482	0.00380755	9.26303	0.0027188	-2.02337	0.00409932	6.86316	0.00261048
206	-3.06467	0.00353646	9.33004	0.00259655	-2.03809	0.00417191	6.91675	0.00261836
207	-3.08947	0.00402904	9.38774	0.00284883	-2.05415	0.00412565	6.96035	0.00259474
208	-3.11034	0.00331494	9.43676	0.00250564	-2.07285	0.00412921	6.98931	0.00256687
209	-3.1258	0.00341284	9.47218	0.00252295	-2.07861	0.00414546	7.01641	0.00257505
210	-3.132	0.00356929	9.49958	0.00263022	-2.08211	0.004176	7.04012	0.00254761
211	-3.14883	0.00392368	9.51753	0.00281187	-2.09708	0.00419392	7.05451	0.00260684
