	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
455	-16.5485	0.0020873	35.8888	0.00166814
456	-16.5613	0.0020884	35.8975	0.00166182
457	-16.5777	0.0020443	35.9124	0.00163414
458	-16.5897	0.0019847	35.9255	0.00158829
459	-16.5963	0.00193931	35.9361	0.00154993
460	-16.6135	0.00199414	35.9541	0.00159134
461	-16.6255	0.00207051	35.9665	0.00164943
462	-16.6434	0.0021427	35.9837	0.00170183
463	-16.6578	0.00209791	35.9916	0.00167621
464	-16.6772	0.00218475	36.0079	0.00173211
465	-16.6909	0.00210218	36.02	0.00167987
466	-16.7083	0.0021133	36.035	0.00168741
467	-16.7214	0.00203918	36.0458	0.00163339
468	-16.7301	0.00208116	36.0599	0.0016615
469	-16.7421	0.00206073	36.0782	0.00163944
470	-16.7567	0.00207819	36.0919	0.00165235
471	-16.7682	0.0020499	36.0998	0.0016371
472	-16.7849	0.00209249	36.1133	0.00166498
473	-16.8005	0.00217187	36.1219	0.00172609
474	-16.8175	0.00208953	36.1387	0.0016738
475	-16.8285	0.00207785	36.1451	0.001668
476	-16.843	0.00205199	36.1605	0.00165413
477	-16.8542	0.00198991	36.1659	0.00160701
478	-16.8646	0.00199646	36.1866	0.00160721
479	-16.8757	0.00188402	36.1933	0.00153279
480	-16.8851	0.00200286	36.2082	0.00160763
481	-16.9002	0.00198359	36.2233	0.00160134
482	-16.9092	0.00205936	36.2324	0.0016532
483	-16.9235	0.00207406	36.2446	0.00167025
484	-16.9355	0.00204583	36.2544	0.0016463
485	-16.9497	0.00209896	36.2606	0.00168995
486	-16.9652	0.00208496	36.2736	0.00168476
487	-16.9754	0.00202884	36.2805	0.0016358
488	-16.9845	0.00205854	36.2915	0.00166289
489	-16.9961	0.00199779	36.3007	0.00162557
490	-17.0041	0.00196933	36.3168	0.0015843
491	-17.0121	0.00199365	36.3224	0.00160849
492	-17.0234	0.0018995	36.3373	0.00154656
493	-17.034	0.00194273	36.3464	0.00157953
494	-17.0464	0.00195801	36.3592	0.00159392
495	-17.0575	0.0019291	36.3644	0.00157788
496	-17.0704	0.00204071	36.3779	0.00165319
